idx,TLS13_AES_128_GCM_SHA256,TLS13_AES_256_GCM_SHA384,TLS13_CHACHA20_POLY1305_SHA256,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256
118,0.002132635,0.002124038,0.001819141,0.001658248,0.001836734,0.001835916
119,0.001637336,0.00166669,0.001470011,0.001560391,0.001482222,0.001485759
120,0.001578909,0.001525287,0.001373443,0.00133891,0.001273262,0.001226805
121,0.001182159,0.001151038,0.001140281,0.001112902,0.001174044,0.001101576
122,0.00114715,0.0011387,0.001175743,0.002503416,0.002998796,0.00185716
123,0.00164706,0.001833376,0.003790454,0.00375773,0.00235346,0.002363483
124,0.002069308,0.001910247,0.001642927,0.001565861,0.0014758,0.001434688
125,0.001143777,0.001487196,0.003317491,0.001718335,0.001234356,0.001454356
126,0.001206493,0.001494696,0.001264621,0.001438363,0.001511312,0.001815363
127,0.00164288,0.001620114,0.001428136,0.003401043,0.002188786,0.003989162
128,0.003837286,0.003520028,0.001547963,0.001863273,0.002287843,0.002340261
129,0.002214724,0.002288994,0.002196491,0.002535541,0.002411033,0.002180048
130,0.001758308,0.001517459,0.001242268,0.002884996,0.001528874,0.001251439
131,0.001137146,0.001141306,0.001089655,0.001108012,0.001132802,0.001095047
132,0.001078272,0.001140057,0.001088875,0.00306816,0.001352231,0.001176338
133,0.001118811,0.00304801,0.002835327,0.002211101,0.001211883,0.001110215
134,0.001107924,0.00128969,0.001417295,0.001447105,0.001261004,0.001145167
135,0.001137104,0.001131287,0.001202266,0.001145578,0.00114739,0.001108634
136,0.001101475,0.001259367,0.001254784,0.003172666,0.001465607,0.001530481
137,0.003120178,0.001659439,0.001760975,0.002441366,0.001756819,0.001726682
138,0.001522739,0.001452693,0.001300598,0.001255027,0.00123858,0.00113591
139,0.001094808,0.001152256,0.001137387,0.001115381,0.001125078,0.001108856
140,0.001103006,0.001260529,0.001171405,0.001214318,0.001138637,0.001125095
141,0.001183754,0.001133596,0.001109768,0.001128134,0.001195751,0.001102146
142,0.001149618,0.001131752,0.001134924,0.001129716,0.001248244,0.0011435
143,0.001142478,0.001165877,0.001096499,0.003127724,0.001339304,0.001126364
144,0.001105467,0.001189567,0.00110575,0.003063433,0.001805742,0.001177232
145,0.001105585,0.001206007,0.001088834,0.001183318,0.001145304,0.001153779
146,0.001095608,0.001178477,0.001192468,0.00114018,0.001138376,0.001134876
147,0.001096583,0.001128354,0.001096773,0.001209978,0.001150486,0.001157566
148,0.001113094,0.001339877,0.001408182,0.001197484,0.001266784,0.001128419
149,0.001155071,0.001225817,0.00109715,0.00112592,0.001132579,0.001104191
150,0.001144306,0.001137952,0.001088468,0.001180061,0.001143429,0.001110828
