idx,AES128-SHA256,AES128-GCM-SHA256,AES256-GCM-SHA384,ECDHE-RSA-AES128-SHA256,ECDHE-RSA-AES128-GCM-SHA256,ECDHE-RSA-AES256-GCM-SHA384
298,0.00109427,0.00113404,0.00128822,0.00442798,0.00442471,0.00446018
299,0.00125097,0.00122805,0.00110601,0.00442827,0.00544193,0.00452423
300,0.00109543,0.00114607,0.00123883,0.00432941,0.00429091,0.004617
301,0.00130107,0.00133262,0.00114719,0.00439166,0.00445782,0.00460249
302,0.00127498,0.0011692,0.00134168,0.00443521,0.00448923,0.00437462
303,0.00117683,0.00127854,0.00109249,0.0042742,0.00428785,0.00746342
304,0.00293222,0.00229384,0.00218698,0.00721243,0.00698935,0.00813883
305,0.00184879,0.00205916,0.00160135,0.00536426,0.00475026,0.00472492
306,0.00129589,0.00124153,0.00111467,0.00440673,0.00445072,0.00460902
307,0.00133279,0.00118157,0.00135555,0.00445571,0.00448272,0.00446379
308,0.00118429,0.00126869,0.00112351,0.00439467,0.00451971,0.00450824
309,0.00126806,0.00107168,0.00115411,0.00444785,0.00453615,0.00443888
310,0.00109932,0.00115672,0.00135193,0.00446929,0.004406,0.00455881
311,0.00136053,0.00109264,0.00110127,0.00443513,0.00443892,0.00424879
312,0.00120697,0.00107041,0.00268248,0.00777259,0.00822865,0.00795741
313,0.00187586,0.00215378,0.0021136,0.00877964,0.00862036,0.00800815
314,0.00222189,0.00185802,0.00217867,0.00729276,0.0105983,0.00865958
315,0.002819,0.00155694,0.00128599,0.00487313,0.00793132,0.0111579
316,0.00260857,0.00234565,0.00222224,0.00926937,0.00918252,0.011607
317,0.00347891,0.00321318,0.00275084,0.0119083,0.0115199,0.00850661
318,0.00182482,0.00184881,0.00148378,0.0064289,0.0116952,0.0106172
319,0.00284416,0.00258881,0.00238501,0.00925509,0.0100915,0.0111753
320,0.00233934,0.00344913,0.00435627,0.00846741,0.00987602,0.00781207
321,0.00225259,0.00391984,0.00443946,0.0119518,0.00966748,0.00917841
322,0.0025171,0.00226087,0.00230788,0.0133978,0.0126753,0.00909034
323,0.00235292,0.00240145,0.00252048,0.00899768,0.00827928,0.0128444
324,0.00232174,0.00225756,0.00205323,0.00924435,0.0100525,0.0119148
325,0.00364915,0.00427184,0.00352541,0.00881433,0.0100069,0.0102202
326,0.00284263,0.00256731,0.00265423,0.00934366,0.00824458,0.00859684
327,0.00207595,0.00342013,0.00252652,0.00700892,0.00682395,0.00858552
328,0.00203336,0.00202778,0.00183373,0.0104544,0.00836973,0.00697288
329,0.00124307,0.0011,0.0027255,0.00429164,0.00426361,0.00422199
330,0.00109502,0.00181055,0.00110113,0.00695688,0.00651056,0.00772395
331,0.00189392,0.00151455,0.00177183,0.00478948,0.00472319,0.00467772
332,0.00137119,0.00115575,0.00124134,0.00565586,0.00454909,0.00450747
333,0.00137781,0.00290425,0.00179424,0.00514948,0.00487394,0.00479297
334,0.00146321,0.00192143,0.00118164,0.00418757,0.00411258,0.0041427
335,0.00108198,0.00105987,0.00105603,0.0042923,0.00415197,0.00416777
336,0.00109633,0.00104883,0.00105073,0.00415212,0.00415213,0.00413665
337,0.00106589,0.00103936,0.00104767,0.00413406,0.00410278,0.00414135
338,0.00107567,0.0010384,0.00104892,0.00426523,0.00415012,0.00428593
339,0.00108671,0.0010392,0.00114559,0.00411756,0.00415131,0.00415566
340,0.00103908,0.00104472,0.00105142,0.0060681,0.00697484,0.00908458
341,0.00341158,0.00323458,0.00326278,0.00621989,0.00726566,0.00712245
342,0.00136504,0.00243014,0.00137857,0.00441083,0.00628846,0.00718511
343,0.00206526,0.00224041,0.00183118,0.00665858,0.00590232,0.00570367
344,0.00149515,0.00150478,0.00124649,0.00567173,0.00821082,0.00693242
345,0.00214127,0.00175595,0.00183962,0.00542479,0.00737127,0.00699244
346,0.00165415,0.00159619,0.00140329,0.00474807,0.00461759,0.00455809
347,0.00123523,0.0012743,0.00119413,0.00444717,0.00454423,0.00447566
348,0.0013363,0.00109434,0.00115229,0.00454775,0.00457814,0.0055539
349,0.00274126,0.00208796,0.00153396,0.00460596,0.00414277,0.00415307
350,0.00106376,0.00104876,0.00110274,0.00428338,0.0042701,0.00419028
351,0.00106671,0.00121809,0.00154314,0.0068266,0.00423731,0.00429249
352,0.00110435,0.00105812,0.00111137,0.00469585,0.00419255,0.00419951
353,0.00108643,0.0011397,0.00114044,0.00420638,0.00416386,0.00415983
354,0.00105238,0.00128354,0.00113281,0.00420373,0.00421801,0.00435346
355,0.00128469,0.0011858,0.00108831,0.00418649,0.0041811,0.00429071
356,0.00112268,0.00104416,0.00105134,0.00417656,0.00418226,0.00426103
357,0.00110425,0.00107764,0.00106198,0.00419234,0.00421403,0.00440203
358,0.00111565,0.00107983,0.0010926,0.00417554,0.00411201,0.00434908
359,0.00111334,0.00108295,0.00106231,0.00413758,0.00415523,0.00424612
360,0.00109215,0.00109579,0.00304079,0.00452596,0.00453845,0.00716825
