idx,TLS_AES_128_GCM_SHA256,TLS_AES_256_GCM_SHA384,TLS_CHACHA20_POLY1305_SHA256,AES128-SHA256,AES128-GCM-SHA256,AES256-GCM-SHA384,ECDHE-RSA-AES128-SHA256,ECDHE-RSA-AES128-GCM-SHA256,ECDHE-RSA-AES256-GCM-SHA384,ECDHE-RSA-CHACHA20-POLY1305
81,0.00218648,0.00178464,0.00174177,0.00166322,0.00177039,0.00198597,0.00221403,0.00420311,0.00415847,0.00495283
82,0.0044788,0.00414394,0.00361288,0.00261683,0.00244401,0.00235475,0.00526268,0.00380403,0.00308194,0.00334873
83,0.00323139,0.00324431,0.00271173,0.00235634,0.00202347,0.00255579,0.00248169,0.00187276,0.00147651,0.00141177
84,0.00139281,0.00155211,0.00202713,0.00193618,0.00296001,0.0018873,0.00157719,0.00198793,0.00253214,0.00474501
85,0.00591649,0.00366837,0.00345443,0.0037482,0.00306602,0.00318844,0.00344532,0.00373578,0.00354493,0.00290502
86,0.00287196,0.0034362,0.00396245,0.00311652,0.0025466,0.00330155,0.00634322,0.00479706,0.00406964,0.00466134
87,0.00357952,0.00519161,0.00619632,0.0036659,0.00292499,0.00310932,0.0046845,0.00300932,0.00266403,0.00306349
88,0.00318289,0.00306515,0.00302314,0.00284351,0.00365724,0.00474489,0.00489315,0.00513701,0.00552421,0.00449182
89,0.00492284,0.00522303,0.0037579,0.00649764,0.0051783,0.00427503,0.00418877,0.00474782,0.00544532,0.00587126
90,0.00510801,0.0034991,0.00370647,0.00386571,0.00301099,0.00279197,0.00411905,0.00368132,0.00516812,0.0053599
91,0.00493654,0.00488264,0.00287667,0.00215271,0.00203648,0.00216711,0.0030014,0.00454363,0.00426627,0.00305911
92,0.00264568,0.00418318,0.00271897,0.00247645,0.0023264,0.00251932,0.00267372,0.00252355,0.00231263,0.00206457
93,0.00202118,0.00174475,0.0016179,0.00122241,0.00127586,0.00144324,0.00147418,0.00153083,0.0014508,0.00155076
94,0.00143206,0.00331279,0.00248278,0.0018225,0.00172115,0.00142493,0.00148756,0.00138495,0.00141222,0.00136561
95,0.00139867,0.00146075,0.0014695,0.00119712,0.00113926,0.00120576,0.00143239,0.00138758,0.00137942,0.00137985
96,0.00144276,0.0014319,0.00143652,0.00118901,0.00115001,0.00118735,0.00137367,0.00133747,0.00134724,0.00135116
97,0.00138645,0.00143545,0.00144937,0.00118224,0.00117682,0.00117755,0.00134945,0.00133662,0.00136813,0.00136027
98,0.00135968,0.0014207,0.00147799,0.00118466,0.0011864,0.00332006,0.00328506,0.00311604,0.00332526,0.00265696
99,0.00162552,0.00155775,0.00163324,0.00135102,0.00157925,0.00124063,0.00186782,0.00152317,0.00174022,0.00169392
100,0.00190597,0.00191342,0.00209524,0.00141161,0.00158456,0.00141736,0.00171154,0.00142947,0.00150221,0.00142793
101,0.00140482,0.00152045,0.00140091,0.00126256,0.001424,0.00130576,0.00146197,0.00138821,0.00165821,0.00140037
102,0.0014562,0.00143249,0.00141947,0.00135932,0.00116294,0.00124805,0.0015474,0.00136769,0.00164741,0.00150246
103,0.00154367,0.00142071,0.00142488,0.00133724,0.00120265,0.00124458,0.00151775,0.00147018,0.00154053,0.00139681
104,0.00150402,0.0014535,0.00149526,0.0013101,0.00116713,0.00123534,0.00144783,0.00141565,0.00153472,0.00139989
105,0.00150631,0.00143984,0.00149799,0.00134624,0.00116072,0.00116897,0.00148351,0.00142404,0.00160603,0.00195338
106,0.00188544,0.00193142,0.0034786,0.0017402,0.00186119,0.00236672,0.00203585,0.00223033,0.00204303,0.00185052
107,0.00158016,0.00169395,0.00143783,0.00137668,0.00160586,0.00140366,0.00137692,0.00137969,0.00138349,0.00136206
108,0.00140097,0.0014543,0.00144505,0.00119572,0.00114328,0.00119997,0.00132315,0.00133909,0.00136097,0.0013662
109,0.00136792,0.00143075,0.00142052,0.00118437,0.00119084,0.00114319,0.00137484,0.00134094,0.00138214,0.00136424
110,0.00135805,0.00146206,0.00139717,0.00117983,0.00118098,0.00118876,0.00158148,0.00136021,0.00137064,0.00137112
111,0.00139408,0.00144688,0.00140531,0.00116538,0.00116187,0.0011779,0.00136654,0.00134121,0.00137924,0.00138078
112,0.00138329,0.00143541,0.00139665,0.00118134,0.00118035,0.00121339,0.0013595,0.00136847,0.00136712,0.00137597
113,0.00140264,0.00144809,0.00144631,0.00118668,0.00117369,0.002608,0.0015498,0.00144902,0.00138568,0.00140943
114,0.00138686,0.00144105,0.00148353,0.00268024,0.00119874,0.00121988,0.00152779,0.0014453,0.00153656,0.00136729
115,0.00154159,0.0014508,0.00148883,0.00119238,0.0011657,0.0012234,0.0015113,0.00144421,0.00158788,0.00201174
116,0.00156086,0.00143873,0.00153289,0.00133076,0.00117986,0.00140891,0.00145436,0.00187568,0.00235061,0.00222055
117,0.00225517,0.00250075,0.00306437,0.002947,0.00274295,0.00217038,0.00245977,0.00195434,0.00206065,0.00187356
118,0.00412201,0.00545855,0.00394208,0.00266736,0.00422323,0.0029674,0.003036,0.00298375,0.00282707,0.0029997
119,0.0047577,0.0045022,0.00406972,0.00456554,0.00233809,0.00394472,0.00355777,0.00327702,0.00300907,0.00269816
120,0.00319188,0.00452129,0.00331505,0.00271162,0.00301837,0.00334586,0.003611,0.00352943,0.00352408,0.00588639
121,0.0047269,0.00463381,0.00395921,0.00405429,0.00312359,0.0035537,0.00438768,0.00372912,0.00352613,0.00368193
122,0.00561571,0.00502201,0.0040701,0.00440571,0.00336265,0.00356722,0.0042504,0.0036155,0.003548,0.00374582
123,0.00364913,0.00367488,0.00317686,0.00256896,0.00227179,0.0020479,0.00241352,0.0021987,0.0017977,0.00195952
124,0.00168259,0.00170787,0.00152018,0.00129746,0.00132566,0.00121456,0.00157876,0.00176913,0.00186263,0.00166386
125,0.00164014,0.0016596,0.00195671,0.00164727,0.00129267,0.00131203,0.00165023,0.00157509,0.00148232,0.00142268
126,0.00150125,0.00163994,0.00150819,0.00124829,0.00133857,0.00118784,0.00154298,0.00148221,0.00157852,0.00150253
127,0.00144459,0.00164517,0.00146489,0.00140331,0.00119663,0.00126892,0.00160564,0.001438,0.00169795,0.00148342
128,0.00163829,0.0014667,0.00154326,0.00134715,0.00117018,0.00142033,0.00154697,0.00151376,0.00153779,0.0014551
129,0.00145723,0.00143938,0.00149811,0.00116939,0.00117814,0.001214,0.00135872,0.00140278,0.00150773,0.00145208
130,0.00145039,0.00149371,0.00318694,0.00118845,0.00118548,0.00118585,0.00305075,0.00153067,0.00147244,0.00145804
131,0.00141148,0.00144005,0.00145075,0.00115565,0.00142948,0.00124363,0.00148366,0.00315756,0.00172019,0.00308834
