idx,TLS_AES_128_GCM_SHA256,TLS_AES_256_GCM_SHA384,TLS_CHACHA20_POLY1305_SHA256,TLS_RSA_WITH_RC4_128_SHA,TLS_RSA_WITH_3DES_EDE_CBC_SHA,TLS_RSA_WITH_AES_128_CBC_SHA,TLS_RSA_WITH_AES_256_CBC_SHA,TLS_RSA_WITH_AES_128_CBC_SHA256,TLS_RSA_WITH_AES_128_GCM_SHA256,TLS_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_RC4_128_SHA,TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256
30,0.001732774,0.002244685,0.001516422,0.002017699,0.001457211,0.002118083,0.001473557,0.001916343,0.001402839,0.001977848,0.001611647,0.001665558,0.002249851,0.001673838,0.001515031,0.001637231,0.001682531,0.001572811
31,0.001562591,0.001506247,0.001534856,0.001346618,0.001423014,0.001349415,0.001334387,0.001354803,0.001295703,0.001359951,0.001641648,0.001531937,0.001833993,0.001521059,0.001583493,0.00151175,0.001529279,0.001628323
32,0.001453784,0.001544549,0.003166162,0.001536902,0.001362674,0.001424603,0.00134878,0.001320515,0.002952763,0.001374855,0.001663859,0.001663633,0.001651212,0.001853315,0.001645439,0.001764736,0.003100539,0.001774474
33,0.003648222,0.004242639,0.003906238,0.003037986,0.002993698,0.0039459,0.003962425,0.00385057,0.003627502,0.004212538,0.002079864,0.003022742,0.0026628,0.00491,0.004027743,0.003941475,0.003953066,0.004088332
34,0.003470397,0.003552633,0.00334478,0.002951486,0.003459303,0.003030808,0.003001239,0.003016173,0.002901095,0.003007881,0.00344355,0.003600046,0.003322774,0.004305874,0.004230133,0.004078888,0.004459129,0.003411611
35,0.003054504,0.003147158,0.003062111,0.002874477,0.003038823,0.003836071,0.002967273,0.002850785,0.003803499,0.00409027,0.00395363,0.003338332,0.003511459,0.003825933,0.003487516,0.003376044,0.003298384,0.003136341
36,0.003593356,0.002940422,0.005452839,0.003359109,0.003217346,0.003190982,0.003048568,0.003362652,0.00316393,0.00211794,0.00245267,0.002723279,0.002086957,0.003127243,0.003513783,0.004094256,0.004258482,0.004049014
37,0.003546102,0.003576718,0.003393733,0.002946199,0.003048488,0.003159647,0.002969583,0.00250797,0.002808398,0.002686517,0.003677211,0.002590312,0.002775225,0.002525952,0.00223566,0.00180914,0.003721633,0.002171211
38,0.001936615,0.001688357,0.001879365,0.002352598,0.002183756,0.001399795,0.002160014,0.001401536,0.002106785,0.00144349,0.002409726,0.001710059,0.002290555,0.001746142,0.002320291,0.001764423,0.002278081,0.001758816
39,0.002094546,0.002276538,0.001483101,0.002120449,0.001421488,0.002190164,0.001407148,0.002078196,0.001371642,0.002036804,0.001552399,0.002455565,0.001669124,0.002299019,0.001892998,0.00227606,0.002399709,0.001614007
40,0.002186615,0.001627022,0.002108506,0.001431978,0.001937189,0.001413174,0.001916378,0.002724519,0.003828938,0.003587211,0.004836123,0.004145729,0.004052053,0.003129808,0.00378926,0.003130655,0.003827678,0.003851951
41,0.003155796,0.004273726,0.003381268,0.002942435,0.002565584,0.002914414,0.00242632,0.002808492,0.002502776,0.002879262,0.003566959,0.003373783,0.003315863,0.003259348,0.00316723,0.003072623,0.002777458,0.003264221
42,0.002440277,0.003019926,0.003048295,0.002783691,0.002835141,0.002746024,0.002756259,0.002940048,0.00291618,0.002802559,0.003269523,0.002555163,0.002118493,0.002093725,0.002871627,0.001957421,0.0023842,0.001800207
43,0.003587684,0.002268564,0.003989313,0.003544479,0.002296124,0.002638621,0.00265412,0.002850589,0.002645961,0.00310838,0.005089593,0.004092924,0.004569472,0.003619334,0.00431066,0.004464962,0.003767737,0.00316156
44,0.004917535,0.003236898,0.002914265,0.002507797,0.004142232,0.00254797,0.002111818,0.00379083,0.002282756,0.004096529,0.002963842,0.00268805,0.00241906,0.003311576,0.004343482,0.003506234,0.002584798,0.003318147
45,0.002525514,0.002627335,0.002040093,0.001840847,0.003087767,0.002020785,0.001611359,0.003106851,0.002193872,0.001975784,0.004334106,0.002667303,0.002604487,0.002300074,0.002128137,0.002091358,0.001984287,0.001915988
46,0.00169052,0.001693332,0.001572304,0.001323969,0.001388058,0.002738859,0.001367081,0.001350142,0.001251585,0.001382132,0.00317871,0.001625834,0.001833285,0.003305604,0.003556861,0.002167793,0.001883446,0.001736746
47,0.001427034,0.003133963,0.001618745,0.001613786,0.001302405,0.001480414,0.001248674,0.001269005,0.002892163,0.001356444,0.001614128,0.002478486,0.001628327,0.0015919,0.00160153,0.001527844,0.001610844,0.001512841
48,0.001749399,0.001513181,0.001503943,0.001471498,0.001388923,0.002318674,0.002112305,0.001699597,0.002286982,0.001981773,0.003061805,0.002188323,0.003204453,0.002345336,0.002293237,0.001974175,0.001669919,0.001749028
49,0.003268571,0.001887719,0.003352117,0.001948879,0.001623537,0.003072142,0.001823379,0.001892866,0.001483132,0.001616056,0.001439337,0.001461994,0.001441261,0.00142802,0.001692407,0.001411862,0.001472952,0.001426767
50,0.001418401,0.001606187,0.001410028,0.001268591,0.00126724,0.001253257,0.001266312,0.001381479,0.002307108,0.001270816,0.001434671,0.001453387,0.001432344,0.001421367,0.001646831,0.002956459,0.001452127,0.001417348
51,0.00142361,0.001782267,0.001443395,0.001303325,0.00133604,0.001265076,0.001487964,0.00281083,0.001511767,0.002816651,0.00163637,0.003264028,0.002348178,0.002364299,0.002310827,0.00226873,0.00233951,0.002521909
52,0.001599967,0.003813377,0.003549831,0.002731487,0.00177932,0.002298824,0.001519701,0.001905495,0.001762875,0.002020567,0.001619909,0.002365405,0.002354396,0.002355984,0.002293437,0.002290658,0.00150872,0.002973959
53,0.003278716,0.002270701,0.002682411,0.001593309,0.002300739,0.001627605,0.002163512,0.002234766,0.001495213,0.003516346,0.002290705,0.002910482,0.002830294,0.004161089,0.005065177,0.003149845,0.005175949,0.003215018
54,0.004853383,0.003076159,0.005061095,0.00418255,0.003218387,0.002749743,0.002954262,0.002403932,0.002825199,0.002649271,0.003290486,0.002810192,0.002727428,0.002339595,0.002271574,0.001931731,0.001928547,0.001608981
55,0.001574153,0.001583327,0.001481931,0.001420389,0.001361073,0.001449364,0.001446409,0.001365617,0.001505016,0.001364961,0.001669165,0.001546145,0.001533596,0.001606745,0.001526626,0.00168268,0.001539922,0.001486025
56,0.001428547,0.0014791,0.001554669,0.001283578,0.00129059,0.002856353,0.00132292,0.001378867,0.002855636,0.001527571,0.003158902,0.003193854,0.003582844,0.002081873,0.002217129,0.002089218,0.002196022,0.002090823
57,0.001861881,0.001928157,0.001779767,0.001851311,0.001717415,0.001697471,0.001752875,0.001575125,0.001612621,0.001484861,0.002608604,0.002190297,0.002752837,0.002949747,0.002103956,0.002583413,0.002038239,0.00465745
58,0.004395224,0.002764328,0.003108855,0.00323494,0.003137799,0.002384764,0.002713822,0.002338339,0.00373096,0.00446772,0.00467507,0.003997275,0.003343407,0.004479459,0.004353386,0.003515583,0.003129223,0.003207688
59,0.003612133,0.003127421,0.004453001,0.003961148,0.004583977,0.003138655,0.004387363,0.003774731,0.004443302,0.003633986,0.004771765,0.004199518,0.004607176,0.004561541,0.003999076,0.002640879,0.003131237,0.00247323
60,0.002508593,0.002548848,0.002503096,0.002156323,0.002483976,0.001976515,0.002521993,0.001848931,0.00223633,0.001465061,0.00219196,0.001455326,0.002348607,0.00144824,0.001572415,0.002235345,0.002293508,0.002266054
61,0.002170688,0.002109127,0.002045933,0.002060462,0.001929965,0.002119906,0.002353339,0.002510115,0.002075601,0.004074738,0.004963403,0.003788214,0.003487376,0.003807268,0.003657387,0.003281532,0.003764241,0.004087414
62,0.004240925,0.004053929,0.004312677,0.003506504,0.003577614,0.002464606,0.004164599,0.003744874,0.002267134,0.002267823,0.002664722,0.002495984,0.002489209,0.004244234,0.002811509,0.002036005,0.002160203,0.004731871
63,0.002548757,0.003006883,0.002375449,0.002634994,0.003754257,0.004141262,0.003008016,0.003981455,0.003897821,0.003420112,0.004289244,0.004731434,0.002347898,0.004500878,0.003418729,0.003321282,0.002867576,0.003431609
64,0.004758567,0.003660924,0.003782747,0.004430346,0.003405056,0.003165278,0.002554186,0.003183275,0.003984749,0.004335824,0.004763416,0.004805602,0.003064276,0.003405843,0.002930428,0.003864473,0.002699376,0.004369611
65,0.004297963,0.003424313,0.003844361,0.002938705,0.002575963,0.002873471,0.002415335,0.00281287,0.002570418,0.002893062,0.003292829,0.002556878,0.002839445,0.002209657,0.002126701,0.001608215,0.002776187,0.00240624
66,0.001719733,0.002147875,0.001453399,0.001408387,0.003045182,0.001329898,0.003028298,0.001429134,0.00309328,0.003589224,0.002531435,0.002042366,0.001895813,0.003432767,0.002104052,0.002567624,0.00205689,0.002563369
67,0.001750762,0.002352069,0.001715369,0.00192709,0.002016322,0.002314373,0.002020973,0.001785191,0.002093157,0.0016947,0.002344428,0.001641232,0.001727974,0.002997525,0.002315903,0.00278404,0.00183774,0.003500225
68,0.001930189,0.001786395,0.001577243,0.002851524,0.001419565,0.00152063,0.001257933,0.00138349,0.002871215,0.001630093,0.002973391,0.001816152,0.001497201,0.001444463,0.001425627,0.003108704,0.001493948,0.002187475
69,0.00143112,0.002149879,0.001428315,0.001917768,0.003379552,0.001319682,0.002066179,0.001292615,0.003316121,0.002074343,0.00194517,0.002543167,0.001852743,0.002391176,0.00257122,0.002591373,0.002840129,0.002719977
70,0.001983623,0.004196261,0.002830056,0.003973421,0.002658449,0.00283412,0.002343446,0.00275306,0.002514239,0.002770879,0.003259013,0.002665639,0.003129583,0.002739954,0.003269762,0.002684825,0.003135791,0.003994977
